,num_particles,c1,c2,w,seed,max_iter,fitness
0,500,2.5,3.0,0.8,0,75,32810
1,500,2.5,3.0,0.8,1,75,32930
2,500,2.5,3.0,0.8,2,75,32808
3,500,2.5,3.0,0.8,3,75,32832
4,500,2.5,3.0,0.8,4,75,32400
5,500,2.5,3.0,1.0,0,75,32563
6,500,2.5,3.0,1.0,1,75,32911
7,500,2.5,3.0,1.0,2,75,32896
8,500,2.5,3.0,1.0,3,75,32579
9,500,2.5,3.0,1.0,4,75,32364
10,500,2.5,3.0,1.2,0,75,32889
11,500,2.5,3.0,1.2,1,75,32942
12,500,2.5,3.0,1.2,2,75,32234
13,500,2.5,3.0,1.2,3,75,32579
14,500,2.5,3.0,1.2,4,75,32499
15,500,2.5,2.5,0.8,0,75,32950
16,500,2.5,2.5,0.8,1,75,32938
17,500,2.5,2.5,0.8,2,75,32736
18,500,2.5,2.5,0.8,3,75,32402
19,500,2.5,2.5,0.8,4,75,32486
20,500,2.5,2.5,1.0,0,75,32744
21,500,2.5,2.5,1.0,1,75,32911
22,500,2.5,2.5,1.0,2,75,32744
23,500,2.5,2.5,1.0,3,75,32341
24,500,2.5,2.5,1.0,4,75,32950
25,500,2.5,2.5,1.2,0,75,32637
26,500,2.5,2.5,1.2,1,75,32923
27,500,2.5,2.5,1.2,2,75,32763
28,500,2.5,2.5,1.2,3,75,32538
29,500,2.5,2.5,1.2,4,75,31957
30,500,2.5,2.0,0.8,0,75,32618
31,500,2.5,2.0,0.8,1,75,32632
32,500,2.5,2.0,0.8,2,75,32826
33,500,2.5,2.0,0.8,3,75,32540
34,500,2.5,2.0,0.8,4,75,32543
35,500,2.5,2.0,1.0,0,75,32896
36,500,2.5,2.0,1.0,1,75,32808
37,500,2.5,2.0,1.0,2,75,32802
38,500,2.5,2.0,1.0,3,75,32828
39,500,2.5,2.0,1.0,4,75,32922
40,500,2.5,2.0,1.2,0,75,32673
41,500,2.5,2.0,1.2,1,75,32876
42,500,2.5,2.0,1.2,2,75,32866
43,500,2.5,2.0,1.2,3,75,32857
44,500,2.5,2.0,1.2,4,75,32330
45,500,2.5,1.5,0.8,0,75,32689
46,500,2.5,1.5,0.8,1,75,32904
47,500,2.5,1.5,0.8,2,75,32683
48,500,2.5,1.5,0.8,3,75,32618
49,500,2.5,1.5,0.8,4,75,32811
50,500,2.5,1.5,1.0,0,75,32635
51,500,2.5,1.5,1.0,1,75,32726
