,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
0,32561,GA,int_nbr_every_day,50000,0,5,uniform_crossover,tournament_select,200,3,0.05,0.01
1,31459,GA,int_nbr_every_day,50000,0,5,uniform_crossover,tournament_select,200,3,0.05,0.1
2,32543,GA,int_nbr_every_day,50000,0,5,uniform_crossover,tournament_select,200,5,0.05,0.01
3,31249,GA,int_nbr_every_day,50000,0,5,uniform_crossover,tournament_select,200,5,0.05,0.1
4,32537,GA,int_nbr_every_day,50000,0,10,uniform_crossover,tournament_select,200,3,0.05,0.01
5,31328,GA,int_nbr_every_day,50000,0,10,uniform_crossover,tournament_select,200,3,0.05,0.1
6,32790,GA,int_nbr_every_day,50000,0,10,uniform_crossover,tournament_select,200,5,0.05,0.01
7,31449,GA,int_nbr_every_day,50000,0,10,uniform_crossover,tournament_select,200,5,0.05,0.1
8,32783,GA,int_nbr_every_day,50000,1,5,uniform_crossover,tournament_select,200,3,0.05,0.01
9,31512,GA,int_nbr_every_day,50000,1,5,uniform_crossover,tournament_select,200,3,0.05,0.1
10,32543,GA,int_nbr_every_day,50000,1,5,uniform_crossover,tournament_select,200,5,0.05,0.01
11,31228,GA,int_nbr_every_day,50000,1,5,uniform_crossover,tournament_select,200,5,0.05,0.1
12,32377,GA,int_nbr_every_day,50000,1,10,uniform_crossover,tournament_select,200,3,0.05,0.01
13,31086,GA,int_nbr_every_day,50000,1,10,uniform_crossover,tournament_select,200,3,0.05,0.1
14,32816,GA,int_nbr_every_day,50000,1,10,uniform_crossover,tournament_select,200,5,0.05,0.01
15,31098,GA,int_nbr_every_day,50000,1,10,uniform_crossover,tournament_select,200,5,0.05,0.1
16,32469,GA,int_nbr_every_day,50000,2,5,uniform_crossover,tournament_select,200,3,0.05,0.01
17,31393,GA,int_nbr_every_day,50000,2,5,uniform_crossover,tournament_select,200,3,0.05,0.1
18,32725,GA,int_nbr_every_day,50000,2,5,uniform_crossover,tournament_select,200,5,0.05,0.01
19,31562,GA,int_nbr_every_day,50000,2,5,uniform_crossover,tournament_select,200,5,0.05,0.1
20,32612,GA,int_nbr_every_day,50000,2,10,uniform_crossover,tournament_select,200,3,0.05,0.01
21,31737,GA,int_nbr_every_day,50000,2,10,uniform_crossover,tournament_select,200,3,0.05,0.1
22,32811,GA,int_nbr_every_day,50000,2,10,uniform_crossover,tournament_select,200,5,0.05,0.01
23,31099,GA,int_nbr_every_day,50000,2,10,uniform_crossover,tournament_select,200,5,0.05,0.1
24,32844,GA,int_nbr_every_day,50000,3,5,uniform_crossover,tournament_select,200,3,0.05,0.01
25,31247,GA,int_nbr_every_day,50000,3,5,uniform_crossover,tournament_select,200,3,0.05,0.1
26,32595,GA,int_nbr_every_day,50000,3,5,uniform_crossover,tournament_select,200,5,0.05,0.01
27,31109,GA,int_nbr_every_day,50000,3,5,uniform_crossover,tournament_select,200,5,0.05,0.1
28,32754,GA,int_nbr_every_day,50000,3,10,uniform_crossover,tournament_select,200,3,0.05,0.01
29,31477,GA,int_nbr_every_day,50000,3,10,uniform_crossover,tournament_select,200,3,0.05,0.1
30,32548,GA,int_nbr_every_day,50000,3,10,uniform_crossover,tournament_select,200,5,0.05,0.01
31,31223,GA,int_nbr_every_day,50000,3,10,uniform_crossover,tournament_select,200,5,0.05,0.1
32,32773,GA,int_nbr_every_day,50000,4,5,uniform_crossover,tournament_select,200,3,0.05,0.01
33,31139,GA,int_nbr_every_day,50000,4,5,uniform_crossover,tournament_select,200,3,0.05,0.1
34,32591,GA,int_nbr_every_day,50000,4,5,uniform_crossover,tournament_select,200,5,0.05,0.01
