,total_profit,algorithm,nbr_func,its,seed,zero_prob
97,15041,HC,int_nbr_everything,10000,1,0.2
98,12425,HC,int_nbr_everything,10000,1,0.5
99,16865,HC,int_nbr_everything,50000,1,0.1
100,15418,HC,int_nbr_everything,50000,1,0.2
101,12425,HC,int_nbr_everything,50000,1,0.5
102,19864,HC,int_nbr_everything,10000,2,0.1
103,14878,HC,int_nbr_everything,10000,2,0.2
104,10804,HC,int_nbr_everything,10000,2,0.5
105,20223,HC,int_nbr_everything,50000,2,0.1
106,15147,HC,int_nbr_everything,50000,2,0.2
107,10804,HC,int_nbr_everything,50000,2,0.5
108,18408,HC,int_nbr_everything,10000,3,0.1
109,15449,HC,int_nbr_everything,10000,3,0.2
110,11122,HC,int_nbr_everything,10000,3,0.5
111,19791,HC,int_nbr_everything,50000,3,0.1
112,15449,HC,int_nbr_everything,50000,3,0.2
113,11122,HC,int_nbr_everything,50000,3,0.5
114,18162,HC,int_nbr_everything,10000,4,0.1
115,13613,HC,int_nbr_everything,10000,4,0.2
116,9975,HC,int_nbr_everything,10000,4,0.5
117,18464,HC,int_nbr_everything,50000,4,0.1
118,13978,HC,int_nbr_everything,50000,4,0.2
119,9975,HC,int_nbr_everything,50000,4,0.5
0,30526,HC,bin_nbr_one_flip,10000,0,0.1
1,30526,HC,bin_nbr_one_flip,10000,0,0.2
2,30526,HC,bin_nbr_one_flip,10000,0,0.5
3,31797,HC,bin_nbr_one_flip,50000,0,0.1
4,31797,HC,bin_nbr_one_flip,50000,0,0.2
5,31797,HC,bin_nbr_one_flip,50000,0,0.5
6,30527,HC,bin_nbr_one_flip,10000,1,0.1
7,30527,HC,bin_nbr_one_flip,10000,1,0.2
8,30527,HC,bin_nbr_one_flip,10000,1,0.5
9,30820,HC,bin_nbr_one_flip,50000,1,0.1
10,30820,HC,bin_nbr_one_flip,50000,1,0.2
11,30820,HC,bin_nbr_one_flip,50000,1,0.5
12,30516,HC,bin_nbr_one_flip,10000,2,0.1
13,30516,HC,bin_nbr_one_flip,10000,2,0.2
14,30516,HC,bin_nbr_one_flip,10000,2,0.5
15,31270,HC,bin_nbr_one_flip,50000,2,0.1
16,31270,HC,bin_nbr_one_flip,50000,2,0.2
