,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
53,18805,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,25,0.01,0.5
54,21266,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,5,0.05,0.1
55,21831,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,5,0.05,0.5
56,21598,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,10,0.05,0.1
57,21638,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,10,0.05,0.5
58,22187,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,25,0.05,0.1
59,21976,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,100,25,0.05,0.5
60,27563,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,5,0.01,0.1
61,27755,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,5,0.01,0.5
62,26872,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,10,0.01,0.1
63,26872,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,10,0.01,0.5
64,26229,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,25,0.01,0.1
65,26221,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,25,0.01,0.5
66,27851,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,5,0.05,0.1
67,27827,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,5,0.05,0.5
68,27114,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,10,0.05,0.1
69,26972,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,10,0.05,0.5
70,26340,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,25,0.05,0.1
71,26350,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,200,25,0.05,0.5
72,26987,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,5,0.01,0.1
73,27223,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,5,0.01,0.5
74,27021,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,10,0.01,0.1
75,27025,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,10,0.01,0.5
76,25901,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,25,0.01,0.1
77,25903,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,25,0.01,0.5
78,27895,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,5,0.05,0.1
79,27756,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,5,0.05,0.5
80,27405,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,10,0.05,0.1
81,27405,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,10,0.05,0.5
82,26562,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,25,0.05,0.1
83,26454,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,200,25,0.05,0.5
84,27500,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,5,0.01,0.1
85,27476,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,5,0.01,0.5
86,27080,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,10,0.01,0.1
87,27080,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,10,0.01,0.5
88,25852,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,25,0.01,0.1
89,25852,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,25,0.01,0.5
90,27174,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,5,0.05,0.1
91,27381,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,5,0.05,0.5
92,27103,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,10,0.05,0.1
93,27252,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,10,0.05,0.5
94,26163,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,25,0.05,0.1
95,26165,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,200,25,0.05,0.5
96,27420,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,5,0.01,0.1
97,27446,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,5,0.01,0.5
98,26853,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,10,0.01,0.1
99,26922,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,10,0.01,0.5
100,25876,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,25,0.01,0.1
101,25876,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,25,0.01,0.5
102,27429,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,5,0.05,0.1
103,27423,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,5,0.05,0.5
104,27054,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,10,0.05,0.1
105,26967,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,10,0.05,0.5
106,26960,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,25,0.05,0.1
107,26911,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,200,25,0.05,0.5
108,27098,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,5,0.01,0.1
109,26969,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,5,0.01,0.5
110,26294,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,10,0.01,0.1
111,26325,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,10,0.01,0.5
112,25973,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,25,0.01,0.1
113,25973,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,25,0.01,0.5
114,26772,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,5,0.05,0.1
115,26808,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,5,0.05,0.5
116,27603,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,10,0.05,0.1
117,27071,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,10,0.05,0.5
118,25664,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,25,0.05,0.1
119,25591,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,200,25,0.05,0.5
120,27465,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,5,0.01,0.1
121,27299,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,5,0.01,0.5
122,27600,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,10,0.01,0.1
123,27647,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,10,0.01,0.5
124,27654,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,25,0.01,0.1
125,27764,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,25,0.01,0.5
126,26985,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,5,0.05,0.1
127,27095,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,5,0.05,0.5
